"Australia: age structure in 2018"
"Age","Male","Female"
"0","155356","146473"
"1","157079","148302"
"2","161680","152700"
"3","163839","154821"
"4","163351","154608"
"5","165234","156295"
"6","165964","157095"
"7","165080","156527"
"8","165389","156885"
"9","165208","156492"
"10","164399","155523"
"11","163707","154610"
"12","159866","150768"
"13","154048","144974"
"14","150169","140900"
"15","147921","139710"
"16","147185","139781"
"17","150353","142222"
"18","157346","148367"
"19","164286","154461"
"20","168227","158453"
"21","170866","162604"
"22","176395","168436"
"23","184572","175884"
"24","188752","180597"
"25","187892","182130"
"26","186984","184359"
"27","188247","187968"
"28","190226","191290"
"29","189117","191357"
"30","186712","190094"
"31","185507","189224"
"32","185622","188972"
"33","185548","188926"
"34","184393","187536"
"35","183811","185896"
"36","180931","182255"
"37","175675","177219"
"38","169164","171509"
"39","162982","166021"
"40","159078","162287"
"41","156999","159856"
"42","157399","159333"
"43","158550","160142"
"44","160714","162708"
"45","163799","166615"
"46","167657","172013"
"47","170682","176654"
"48","166035","172009"
"49","159351","165038"
"50","155070","160910"
"51","150639","155742"
"52","148972","153533"
"53","149239","153718"
"54","151855","156522"
"55","154917","159715"
"56","154921","159794"
"57","153341","158789"
"58","149356","155896"
"59","144627","151519"
"60","141094","148351"
"61","137326","144980"
"62","134375","141359"
"63","130419","137762"
"64","125594","134039"
"65","123255","131225"
"66","121086","127997"
"67","118629","125110"
"68","116565","122861"
"69","113481","119197"
"70","112070","116733"
"71","113455","117557"
"72","104821","108678"
"73","92091","96234"
"74","86266","91099"
"75","78619","83834"
"76","72737","78117"
"77","68347","74201"
"78","62941","69779"
"79","58452","66342"
"80","53651","62455"
"81","49320","58467"
"82","44879","54431"
"83","39796","49953"
"84","35321","45648"
"85","31613","42227"
"86","28188","39165"
"87","25358","36655"
"88","22676","34081"
"89","19242","30271"
"90","15774","26439"
"91","12835","22819"
"92","10196","19330"
"93","7833","16019"
"94","5776","12655"
"95","4167","9741"
"96","2909","7353"
"97","1993","5398"
"98","1295","3693"
"99","774","2264"

"Source: Australian Bureau of Statistics, Population clock and pyramid"
