"Australia: projected age structure in 2030"
"Age","Male","Female"
"0","180636","171274"
"1","179767","170527"
"2","179891","170737"
"3","179104","170079"
"4","177339","168455"
"5","175688","166927"
"6","173750","165160"
"7","171190","162799"
"8","174874","166908"
"9","172531","164095"
"10","171452","162894"
"11","175296","165366"
"12","175553","166384"
"13","178319","168948"
"14","182502","173055"
"15","181661","171585"
"16","183423","174036"
"17","186639","176682"
"18","190987","181684"
"19","198149","187360"
"20","205868","194517"
"21","208514","195727"
"22","213636","200599"
"23","219302","204412"
"24","217500","203139"
"25","214074","199179"
"26","208646","196031"
"27","201437","192373"
"28","199479","191529"
"29","205825","196896"
"30","205911","199472"
"31","198912","196232"
"32","196414","196743"
"33","199683","201761"
"34","204462","206563"
"35","209173","211789"
"36","207886","212634"
"37","206837","213935"
"38","206163","214957"
"39","209319","217579"
"40","209190","216825"
"41","205605","213050"
"42","202361","210817"
"43","201513","208233"
"44","201624","207188"
"45","198952","205148"
"46","196387","201543"
"47","194867","199322"
"48","187572","192050"
"49","180851","186869"
"50","170751","178035"
"51","165891","173941"
"52","160940","168789"
"53","159554","166809"
"54","160537","165437"
"55","161183","167277"
"56","163295","170110"
"57","166409","174200"
"58","171261","180997"
"59","172179","183226"
"60","161755","171664"
"61","159257","170272"
"62","153508","163936"
"63","150700","160754"
"64","150045","160240"
"65","151388","162037"
"66","154678","165939"
"67","155374","167148"
"68","153023","164816"
"69","149644","162739"
"70","142375","156319"
"71","137979","151641"
"72","132194","146864"
"73","126927","141195"
"74","122543","136048"
"75","115740","130974"
"76","110077","125315"
"77","106741","121254"
"78","101075","115374"
"79","97059","111536"
"80","92044","106914"
"81","86102","100658"
"82","83181","97110"
"83","80924","95492"
"84","63950","76103"
"85","56653","69355"
"86","49526","61725"
"87","40601","52409"
"88","36194","47316"
"89","29663","40573"
"90","25001","35604"
"91","20164","30650"
"92","16080","25463"
"93","12638","20817"
"94","9400","16322"
"95","6747","12366"
"96","4888","9047"
"97","3522","6745"
"98","2476","4853"
"99","1743","3525"

"Source: Australian Bureau of Statistics, Population clock and pyramid"
