Title,Activity type (Sport or Activity),Neighbourhood,Participants,Cost,Season,Title Link,page,Location,Website,detail_error
AFL Victoria,AFL,Docklands,"Adults, Children, Families, Female, Gender diverse, Male, Older adults, People with disabilities, Young people",Free,Winter,https://www.melbourne.vic.gov.au/sports-activities/afl-victoria,0,"140 Harbour Esplanade, Docklands VIC 3008, Floor B3 Marvel Stadium",https://www.aflvic.com.au,
Athletics Victoria,Athletics,,"Adults, Children, Families, Female, Male, Older adults, People with disabilities, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/athletics-victoria,0,"Athletics House, Level 1, 31 Aughtie Drive, Albert Park, VIC 3206",http://www.athsvic.org.au/,
Basketball Victoria,Basketball,,"Adults, Children, Families, Female, Gender diverse, Male, Older adults, People with disabilities, Young people",,All year,https://www.melbourne.vic.gov.au/sports-activities/basketball-victoria,0,"30 Aughtie Drive, Albert Park VIC 3206",https://www.basketballvictoria.com.au,
Bicycle Network,Cycling,CBD,"Adults, Children, Families, Female, Male, Older adults, People with disabilities, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/bicycle-network,0,"4/246 Bourke Street, Melbourne VIC",https://bicyclenetwork.com.au/,
Brunswick Mudlarks Football Club,AFL,Parkville,"Adults, Male, Older adults",$$,Winter,https://www.melbourne.vic.gov.au/sports-activities/brunswick-mudlarks-football-club,0,"McAlister Oval, 750 Park St, Parkville VIC 3052",https://www.brunswickmudlarks.com/,
Carlton Cricket Club,Cricket,Parkville,"Adults, Children, Families, Female, Male, Older adults, Young people",$$$,Summer,https://www.melbourne.vic.gov.au/sports-activities/carlton-cricket-club,0,"Princes Park, 387 Royal Parade, Parkville VIC 3054",https://www.carltoncricketclub.com/,
Carlton Football Club,AFL,Carlton,"Adults, Children, Families, Female, Gender diverse, Male, Older adults, People with disabilities, Young people",,Winter,https://www.melbourne.vic.gov.au/sports-activities/carlton-football-club,0,"Princes Park, Carlton North VIC 3054",https://www.carltonfc.com.au/,
Carlton Gardens Tennis Club,Tennis,Carlton,"Adults, Children, Families, Female, Gender diverse, Male, Older adults, People with disabilities, Young people",,,https://www.melbourne.vic.gov.au/sports-activities/carlton-gardens-tennis-club,0,"Carlton Gardens,, 1-111 Carlton St, Carlton VIC 3053",https://moomba.melbourne.vic.gov.au,
Chinese Youth Society of Melbourne (CYSM),Recreation or social,,"Adults, Children, Families, Female, Male, Older adults, People with disabilities, Young people",$$$,All year,https://www.melbourne.vic.gov.au/sports-activities/chinese-youth-society-melbourne-cysm,0,"CYSM Clubhouse, 4/2-4 Joseph Street, Blackburn North",http://cysm.org/,
Collingwood Football Club,AFL,,"Adults, Children, Families, Female, Gender diverse, Male, Older adults, People with disabilities, Young people",,Winter,https://www.melbourne.vic.gov.au/sports-activities/collingwood-football-club,0,"Corner Swan Street and Batman Avenue, Olympic Park, Melbourne VIC 3001",https://www.collingwoodfc.com.au/,
